ID,EXTRACTION_DATE,CIRCULATING_SUPPLY,TOTAL_SUPPLY,MAX_SUPPLY,USD_PRICE,VOLUME_24_HOURS,PERCENT_CHANGE_1,PERCENT_CHANGE_24,PERCENT_CHANGE_7_DAYS,MARKET_CAP,LAST_UPDATED
1,2019-04-24 06:53:26,17662162.0,17662162,21000000.0,5626.69,15317791771.13,0.01,1.27,7.38,99379526646.05,2019-04-24 06:52:30
2,2019-04-24 06:53:26,61475583.59,61475584,84000000.0,73.82,2952425236.86,-0.42,-6.14,-8.19,4538009649.54,2019-04-24 06:52:04
52,2019-04-24 06:53:26,42004966728.0,99991643723,100000000000.0,0.32,1019837739.79,-0.48,-2.37,-1.74,13395273744.18,2019-04-24 06:52:03
512,2019-04-24 06:53:26,19364212888.42,104922376416,,0.11,243074885.26,-0.57,-5.25,-6.32,2096135615.75,2019-04-24 06:52:03
1027,2019-04-24 06:53:26,105788040.12,105788040,,170.07,6800939540.19,-0.34,-2.84,1.97,17991414194.29,2019-04-24 06:52:21
1,2019-04-24 06:58:41,17662212.0,17662212,21000000.0,5622.94,15867295575.93,-0.1,1.19,7.31,99313539614.98,2019-04-24 06:58:26
2,2019-04-24 06:58:41,61475783.59,61475784,84000000.0,73.85,2954775797.87,-0.41,-6.13,-8.14,4539922187.72,2019-04-24 06:58:03
52,2019-04-24 06:58:41,42004966728.0,99991643723,100000000000.0,0.32,1016424229.21,-0.5,-2.39,-1.75,13392247194.21,2019-04-24 06:58:03
512,2019-04-24 06:58:41,19364212888.42,104922376416,,0.11,243416885.62,-0.6,-5.27,-6.33,2095827760.38,2019-04-24 06:58:03
1027,2019-04-24 06:58:41,105788227.25,105788227,,169.96,7139247190.57,-0.47,-2.94,1.91,17979884283.82,2019-04-24 06:58:20
1,2019-04-24 07:03:44,17662212.0,17662212,21000000.0,5624.5,15216646292.23,-0.11,1.19,7.35,99341137756.62,2019-04-24 07:03:28
2,2019-04-24 07:03:44,61475783.59,61475784,84000000.0,73.82,2934999632.94,-0.47,-6.21,-8.15,4538266649.98,2019-04-24 07:03:04
52,2019-04-24 07:03:44,42004966728.0,99991643723,100000000000.0,0.32,1008492217.97,-0.47,-2.4,-1.73,13393205863.52,2019-04-24 07:03:01
512,2019-04-24 07:03:44,19364212888.42,104922376416,,0.11,241549526.37,-0.71,-5.39,-6.42,2093441911.8,2019-04-24 07:03:02
1027,2019-04-24 07:03:44,105788227.25,105788227,,169.95,6730226021.34,-0.5,-2.98,1.91,17978340712.67,2019-04-24 07:03:22
1,2019-04-24 08:08:58,17662350.0,17662350,21000000.0,5506.49,15525510988.76,-2.1,-1.09,5.12,97257635538.39,2019-04-24 08:08:27
2,2019-04-24 08:08:58,61476308.59,61476309,84000000.0,72.43,2945603209.72,-1.94,-8.23,-9.74,4452516254.46,2019-04-24 08:08:04
52,2019-04-24 08:08:58,42004966728.0,99991643723,100000000000.0,0.3,1167495797.14,-5.68,-8.08,-7.49,12630360787.66,2019-04-24 08:08:03
512,2019-04-24 08:08:58,19405180888.42,104922376416,,0.11,251670201.76,-2.43,-7.58,-8.66,2048444320.72,2019-04-24 08:08:03
1027,2019-04-24 08:08:58,105788772.19,105788772,,165.8,6856003932.09,-2.39,-5.63,-0.54,17539932076.68,2019-04-24 08:08:21
1,2019-04-24 08:13:59,17662350.0,17662350,21000000.0,5500.75,15635503925.89,-2.19,-1.2,5.01,97156165871.75,2019-04-24 08:13:28
2,2019-04-24 08:13:59,61476308.59,61476309,84000000.0,72.26,2951644148.71,-2.17,-8.47,-9.93,4442368887.32,2019-04-24 08:13:04
52,2019-04-24 08:13:59,42004966728.0,99991643723,100000000000.0,0.3,1180632278.71,-5.83,-8.24,-7.66,12608591270.58,2019-04-24 08:13:03
512,2019-04-24 08:13:59,19405180888.42,104922376416,,0.11,253583828.9,-2.42,-7.59,-8.69,2048010983.24,2019-04-24 08:13:02
1027,2019-04-24 08:13:59,105788772.19,105788772,,165.44,7071496029.0,-2.55,-5.85,-0.75,17501346239.51,2019-04-24 08:13:18
1,2019-04-24 08:19:00,17662412.0,17662412,21000000.0,5490.44,15681708070.49,-2.35,-1.39,4.82,96974426179.73,2019-04-24 08:17:28
2,2019-04-24 08:19:00,61476508.59,61476509,84000000.0,72.2,2948927519.35,-2.24,-8.56,-10.0,4438396644.18,2019-04-24 08:18:04
52,2019-04-24 08:19:00,42004966728.0,99991643723,100000000000.0,0.3,1191677823.41,-6.56,-8.96,-8.4,12509901193.11,2019-04-24 08:18:03
512,2019-04-24 08:19:00,19405180888.42,104922376416,,0.11,254324045.53,-2.77,-7.95,-9.06,2039770386.48,2019-04-24 08:18:02
1027,2019-04-24 08:19:00,105788970.19,105788970,,165.4,7252461673.71,-2.5,-5.87,-0.77,17497579027.5,2019-04-24 08:18:22
1,2019-04-24 08:24:01,17662412.0,17662412,21000000.0,5496.14,15739243186.71,-2.2,-1.29,4.93,97075128704.7,2019-04-24 08:22:30
2,2019-04-24 08:24:01,61476508.59,61476509,84000000.0,72.26,2956810441.52,-2.09,-8.48,-9.9,4442526005.14,2019-04-24 08:23:03
52,2019-04-24 08:24:01,42004966728.0,99991643723,100000000000.0,0.3,1211219208.39,-6.16,-8.59,-8.04,12560561428.65,2019-04-24 08:23:02
512,2019-04-24 08:24:01,19405180888.42,104922376416,,0.1,255918646.16,-2.82,-8.03,-9.16,2037536302.8,2019-04-24 08:23:03
1027,2019-04-24 08:24:01,105788970.19,105788970,,165.58,6912744554.32,-2.33,-5.78,-0.66,17516569100.28,2019-04-24 08:23:18
1,2019-04-24 08:29:02,17662412.0,17662412,21000000.0,5503.32,15803169280.46,-2.0,-1.16,5.07,97201967781.53,2019-04-24 08:28:29
2,2019-04-24 08:29:02,61476508.59,61476509,84000000.0,72.32,2963868484.46,-1.86,-8.41,-9.82,4445814169.87,2019-04-24 08:28:03
52,2019-04-24 08:29:02,42004966728.0,99991643723,100000000000.0,0.3,1228725640.04,-5.79,-8.26,-7.73,12604369113.42,2019-04-24 08:28:03
512,2019-04-24 08:29:02,19405180888.42,104922376416,,0.11,257462009.65,-2.74,-8.0,-9.15,2037869126.04,2019-04-24 08:28:02
1027,2019-04-24 08:29:02,105788970.19,105788970,,165.71,6930406635.87,-2.18,-5.7,-0.58,17530316372.52,2019-04-24 08:28:18
1,2019-04-24 08:34:03,17662412.0,17662412,21000000.0,5502.36,15757958538.14,-1.93,-1.17,5.06,97184930151.21,2019-04-24 08:33:28
2,2019-04-24 08:34:03,61476508.59,61476509,84000000.0,72.47,2974577330.44,-1.43,-8.21,-9.61,4455424039.13,2019-04-24 08:33:04
52,2019-04-24 08:34:03,42004966728.0,99991643723,100000000000.0,0.3,1238667393.53,-5.29,-8.26,-7.75,12604032798.01,2019-04-24 08:33:03
