EXTRACTION_DATE,CURRENCY,SELL_PRICE,SPOT_PRICE,BUY_PRICE
2019-04-26 00:19:15,USD,5069.93,5081.74,5121.74
2019-04-26 00:24:16,USD,5077.25,5067.26,5130.49
2019-04-26 00:29:17,USD,5071.21,5100.615,5126.52
2019-04-26 00:34:18,USD,5080.8,5097.635,5132.83
2019-04-26 00:39:20,USD,5075.25,5096.765,5128.29
2019-04-26 00:44:21,USD,5070.02,5109.995,5121.48
2019-04-26 00:49:29,USD,5076.55,5112.59,5128.52
2019-04-26 00:54:35,USD,5089.46,5119.99,5142.08
2019-04-26 00:59:36,USD,5094.38,5115.635,5145.59
2019-04-26 01:04:38,USD,5094.24,5136.605,5145.5
2019-04-26 01:09:39,USD,5091.85,5137.955,5143.04
2019-04-26 01:14:40,USD,5098.35,5139.05,5150.52
2019-04-26 01:19:41,USD,5101.71,5122.995,5156.36
2019-04-26 01:24:42,USD,5097.37,5139.39,5148.62
2019-04-26 01:29:43,USD,5103.03,5130.025,5154.86
2019-04-26 01:34:44,USD,5106.39,5130.775,5160.36
2019-04-26 01:39:46,USD,5108.6,5156.65,5162.28
2019-04-26 01:44:47,USD,5130.2,5151.325,5181.78
2019-04-26 01:49:48,USD,5132.2,5160.905,5185.07
2019-04-26 01:54:50,USD,5127.9,5146.065,5181.46
2019-04-26 01:59:51,USD,5126.61,5144.15,5179.62
2019-04-26 02:04:52,USD,5118.46,5138.375,5172.52
2019-04-26 02:09:54,USD,5110.64,5139.89,5164.07
2019-04-26 02:14:54,USD,5108.93,5145.495,5160.33
2019-04-26 02:19:56,USD,5107.76,5153.6,5160.65
2019-04-26 02:24:59,USD,5112.66,5170.965,5164.07
2019-04-26 02:30:00,USD,5149.76,5174.41,5201.54
2019-04-26 02:35:01,USD,5149.12,5200.945,5200.89
2019-04-26 02:40:03,USD,5144.54,5280.08,5199.0
2019-04-26 02:45:04,USD,5148.44,5246.36,5200.55
2019-04-26 02:50:05,USD,5198.19,5238.415,5253.56
2019-04-26 02:55:07,USD,5209.23,5212.55,5263.88
2019-04-26 03:00:11,USD,5209.4,5219.645,5263.89
2019-04-26 03:05:12,USD,5211.86,5208.265,5264.32
2019-07-25 05:55:17,USD,10035.53,10085.635,10136.4
2019-07-25 06:05:19,USD,10011.42,10061.13,10114.16
2019-04-25 10:35:51,USD,5420.75,5445.825,5475.24
2019-04-25 11:36:07,USD,5415.52,5443.115,5470.46
2019-04-25 12:41:24,USD,5434.63,5458.22,5488.03
2019-04-25 12:46:24,USD,5439.06,5452.415,5494.66
2019-04-25 12:51:25,USD,5433.3,5459.585,5488.95
2019-04-25 12:56:26,USD,5432.34,5457.865,5488.76
2019-04-25 13:01:27,USD,5429.37,5458.505,5485.16
2019-04-25 13:06:28,USD,5434.03,5458.07,5486.41
2019-04-25 13:11:29,USD,5431.61,5450.78,5486.61
2019-04-25 13:16:30,USD,5427.62,5451.425,5483.08
2019-04-25 13:21:31,USD,5420.02,5447.22,5475.06
2019-04-25 13:26:32,USD,5425.83,5450.945,5481.55
2019-04-25 13:31:34,USD,5423.27,5449.925,5478.22
2019-04-25 13:41:36,USD,5425.98,5450.345,5482.43
2019-04-25 13:46:38,USD,5421.82,5454.02,5477.41
2019-04-25 13:51:39,USD,5426.72,5454.835,5482.12
2019-04-25 13:56:41,USD,5427.72,5457.69,5483.19
2019-04-25 14:01:42,USD,5429.0,5456.705,5484.17
2019-04-25 14:06:44,USD,5428.07,5453.205,5484.21
2019-04-25 14:11:45,USD,5430.26,5443.585,5485.16
2019-04-25 14:16:46,USD,5428.72,5443.585,5484.38
2019-04-25 14:21:48,USD,5411.03,5438.63,5467.55
2019-04-25 14:26:50,USD,5410.28,5444.535,5465.82
2019-04-25 14:31:51,USD,5411.43,5441.065,5467.2
2019-04-25 15:07:03,USD,5417.33,5454.995,5473.66
2019-04-25 16:07:18,USD,5427.87,5463.815,5483.1
2019-04-25 16:12:20,USD,5428.81,5463.265,5483.38
2019-04-25 19:08:08,USD,5467.52,5503.715,5523.21
2019-04-25 19:13:09,USD,5481.58,5509.135,5537.06
2019-04-25 06:09:41,USD,5395.94,5416.905,5450.19
2019-04-25 06:14:43,USD,5389.82,5417.375,5443.99
2019-04-25 06:19:45,USD,5387.0,5413.39,5443.54
2019-04-25 06:24:47,USD,5391.91,5411.38,5447.52
2019-04-25 06:29:48,USD,5391.94,5398.72,5447.56
2019-04-25 06:34:49,USD,5371.26,5407.845,5426.17
